Local date,UTC Date,Voyage number,Distance to last port (NM),Distance to next port (NM),Sailed distance GPS (NM),Sailed distance log (NM),Latitude as decimal,Longitude as decimal
31.12.2016 12:00,31.12.2016 04:00,031W,188.00,235.00,139.00,145.00,12.72,122.31
01.01.2017 12:00,01.01.2017 04:00,031W,273.00,150.00,85.00,95.00,11.79,123.23
02.01.2017 12:00,02.01.2017 04:00,031W,380.00,42.00,107.00,115.00,10.53,124.29
05.01.2017 12:00,05.01.2017 04:00,031W,225.00,"1,140.00",218.00,225.00,8.69,121.02
06.01.2017 12:00,06.01.2017 04:00,031W,627.00,738.00,402.00,410.00,6.97,114.59
07.01.2017 12:00,07.01.2017 04:00,031W,952.00,413.00,325.00,327.00,4.34,109.90
08.01.2017 12:00,08.01.2017 04:00,031W,"1,191.00",174.00,239.00,249.00,2.31,106.52
17.01.2017 12:00,17.01.2017 04:00,033E,82.00,"1,241.00",76.00,77.00,1.63,104.96
18.01.2017 12:00,18.01.2017 04:00,033E,452.00,871.00,370.00,374.00,4.65,110.30
19.01.2017 12:00,19.01.2017 04:00,033E,822.00,501.00,370.00,375.00,7.55,115.39
20.01.2017 12:00,20.01.2017 04:00,033E,"1,190.00",133.00,368.00,370.00,12.57,119.40
21.01.2017 13:26,21.01.2017 05:26,033W,2.00,74.00,24.00,25.00,13.67,120.73
24.01.2017 12:00,24.01.2017 04:00,033W,6.00,392.00,34.00,35.00,14.10,120.53
26.01.2017 12:00,26.01.2017 04:00,033W,141.00,"1,224.00",135.00,130.00,8.88,122.41
27.01.2017 12:00,27.01.2017 04:00,033W,541.00,824.00,400.00,398.00,7.37,115.98
28.01.2017 12:00,28.01.2017 04:00,033W,915.00,450.00,374.00,380.00,4.71,110.39
29.01.2017 12:00,29.01.2017 04:00,033W,"1,199.00",166.00,284.00,290.00,2.25,106.38
31.01.2017 12:00,31.01.2017 04:00,034E,147.00,"1,171.00",141.00,150.00,2.09,106.04
01.02.2017 12:00,01.02.2017 04:00,034E,517.00,801.00,370.00,375.00,5.31,111.27
02.02.2017 12:00,02.02.2017 04:00,034E,892.00,426.00,375.00,378.00,8.64,116.44
03.02.2017 12:00,03.02.2017 04:00,034E,"1,239.00",79.00,347.00,350.00,13.26,119.91
07.02.2017 12:00,07.02.2017 04:00,034W,165.00,257.00,163.00,167.00,13.00,122.06
09.02.2017 12:00,09.02.2017 04:00,034W,69.00,"1,296.00",60.00,62.00,9.30,123.44
10.02.2017 12:26,10.02.2017 04:26,034W,458.00,907.00,389.00,390.00,7.93,117.19
11.02.2017 12:00,11.02.2017 04:00,034W,849.00,516.00,391.00,394.00,5.32,111.30
12.02.2017 12:00,12.02.2017 04:00,034W,"1,189.00",175.00,341.00,350.00,5.31,106.52
14.02.2017 12:00,14.02.2017 04:00,035E,42.00,"1,270.00",42.00,43.00,1.44,104.54
15.02.2017 12:00,15.02.2017 04:00,035E,401.00,917.00,353.00,372.00,4.18,109.71
16.02.2017 12:00,16.02.2017 04:00,035E,759.00,559.00,358.00,364.00,7.27,114.82
17.02.2017 12:00,17.02.2017 04:00,035E,"1,127.00",191.00,368.00,375.00,11.79,118.80
20.02.2017 12:00,20.02.2017 04:00,035W,48.00,375.00,44.00,50.00,14.00,120.53
21.02.2017 12:00,21.02.2017 04:00,035W,271.00,152.00,223.00,267.00,11.79,123.20
23.02.2017 12:00,23.02.2017 04:00,035W,76.00,"1,289.00",69.00,65.00,9.19,123.38
24.02.2017 12:00,24.02.2017 04:00,035W,481.00,884.00,405.00,408.00,7.66,116.96
25.02.2017 12:00,25.02.2017 04:00,035W,875.00,490.00,394.00,397.00,5.09,110.95
26.02.2017 12:00,26.02.2017 04:00,035W,"1,196.00",169.00,321.00,330.00,2.28,106.44
28.02.2017 12:00,28.02.2017 04:00,036E,103.00,"1,242.00",96.00,100.00,1.80,105.44
01.03.2017 12:00,01.03.2017 04:00,036E,438.00,907.00,335.00,341.00,4.55,110.18
02.03.2017 12:00,02.03.2017 04:00,036E,762.00,583.00,324.00,329.00,7.20,114.89
03.03.2017 12:00,03.03.2017 04:00,036E,"1,011.00",334.00,249.00,250.00,10.18,117.71
04.03.2017 12:28,04.03.2017 04:28,036E,"1,198.00",147.00,187.00,195.00,12.88,119.34
07.03.2017 12:43,07.03.2017 04:43,036W,,220.00,201.00,210.00,12.50,122.37
09.03.2017 12:00,09.03.2017 04:00,036W,106.00,"1,259.00",100.00,110.00,8.96,123.01
10.03.2017 12:00,10.03.2017 04:00,036W,485.00,874.00,385.00,390.00,7.61,116.80
11.03.2017 12:00,11.03.2017 04:00,036W,855.00,504.00,370.00,380.00,5.22,111.14
12.03.2017 12:00,12.03.2017 04:00,036W,"1,197.00",168.00,336.00,346.00,2.26,106.42
15.03.2017 12:00,15.03.2017 04:00,037E,258.00,"1,087.00",251.00,270.00,2.82,107.72
